Customer ID,Customer Name,Segment,City,State,Country,Market,Region
AG-900,Arthur Gainer,Consumer,Kano,Kano,Nigeria,Africa,Africa
KW-6435,Katrina Willman,Consumer,Chitungwiza,Harare,Zimbabwe,Africa,Africa
WB-11850,William Brown,Consumer,Istanbul,Istanbul,Turkey,EMEA,EMEA
BV-1245,Benjamin Venier,Corporate,Kahramanmaras,Kahramanmaras,Turkey,EMEA,EMEA
LT-7110,Liz Thompson,Consumer,Gdansk,Pomerania,Poland,EMEA,EMEA
QJ-9255,Quincy Jones,Corporate,Magnitogorsk,Chelyabinsk,Russia,EMEA,EMEA
MC-7605,Matt Connell,Corporate,Nairobi,Nairobi,Kenya,Africa,Africa
TG-11310,Toby Gnade,Consumer,Red Deer,Alberta,Canada,Canada,Canada
HM-4860,Harry Marie,Corporate,Dakar,Dakar,Senegal,Africa,Africa
TT-11070,Ted Trevino,Consumer,Algiers,Alger,Algeria,Africa,Africa
RB-9465,Rick Bensley,Home Office,Mosul,Ninawa,Iraq,EMEA,EMEA
DK-2985,Darren Koutras,Consumer,Kano,Kano,Nigeria,Africa,Africa
DP-3390,Dennis Pardue,Home Office,Abha,'Asir,Saudi Arabia,EMEA,EMEA
BK-1260,Berenike Kampe,Consumer,Istanbul,Istanbul,Turkey,EMEA,EMEA
FH-4350,Fred Harton,Consumer,Mersin,Mersin,Turkey,EMEA,EMEA
MS-7770,Maxwell Schwartz,Consumer,Tunis,Tunis,Tunisia,Africa,Africa
NB-8655,Nona Balk,Corporate,Likasi,Katanga,Democratic Republic of the Congo,Africa,Africa
RD-9720,Roger Demir,Consumer,Sofia,Sofiya-Grad,Bulgaria,EMEA,EMEA
PP-8955,Paul Prost,Home Office,Maiduguri,Borno,Nigeria,Africa,Africa
DW-3195,David Wiener,Corporate,Shahriar,Tehran,Iran,EMEA,EMEA
FC-4335,Fred Chung,Corporate,Baghdad,Baghdad,Iraq,EMEA,EMEA
BC-1125,Becky Castell,Home Office,Istanbul,Istanbul,Turkey,EMEA,EMEA
CM-2445,Chuck Magee,Consumer,Dakar,Dakar,Senegal,Africa,Africa
SR-10740,Steven Roelle,Home Office,Mogadishu,Banaadir,Somalia,Africa,Africa
VD-11670,Valerie Dominguez,Consumer,Kocaeli,Kocaeli,Turkey,EMEA,EMEA
VP-11730,Victor Preis,Home Office,Lagos,Lagos,Nigeria,Africa,Africa
DB-3615,Doug Bickford,Consumer,Lagos,Lagos,Nigeria,Africa,Africa
JD-5895,Jonathan Doherty,Corporate,Durres,Durrës,Albania,EMEA,EMEA
KM-6660,Khloe Miller,Consumer,Malatya,Malatya,Turkey,EMEA,EMEA
RP-9270,Rachel Payne,Corporate,Bishkek,Bishkek,Kyrgyzstan,EMEA,EMEA
SZ-10035,Sam Zeldin,Home Office,Baraki,Tipaza,Algeria,Africa,Africa
JS-5880,John Stevenson,Consumer,Zaria,Kaduna,Nigeria,Africa,Africa
SH-9975,Sally Hughsby,Corporate,Riyadh,Ar Riyad,Saudi Arabia,EMEA,EMEA
JO-5280,Jas O'Carroll,Consumer,Varna,Varna,Bulgaria,EMEA,EMEA
MC-8100,Mick Crebagga,Consumer,Baghdad,Baghdad,Iraq,EMEA,EMEA
JG-5805,John Grady,Corporate,East London,Eastern Cape,South Africa,Africa,Africa
BE-1410,Bobby Elias,Consumer,L'viv,L'viv,Ukraine,EMEA,EMEA
JW-5955,Joni Wasserman,Consumer,Alexandria,Al Iskandariyah,Egypt,Africa,Africa
SE-10110,Sanjit Engle,Consumer,Mbuji-mayi,Kasai-Oriental,Democratic Republic of the Congo,Africa,Africa
DF-3135,David Flashing,Consumer,Ankara,Ankara,Turkey,EMEA,EMEA
PS-8970,Paul Stevenson,Home Office,Hargeysa,Woqooyi Galbeed,Somalia,Africa,Africa
SC-10230,Scot Coram,Corporate,Fes,Fès-Boulemane,Morocco,Africa,Africa
MS-7830,Melanie Seite,Consumer,Riyadh,Ar Riyad,Saudi Arabia,EMEA,EMEA
